evaluation_set,model_family,outcome,mae,rmse,r2,mae_ci95_low,mae_ci95_high
cv,acoustic_only,alpha_asymmetry,0.016666666666666666,0.019148542155126763,-0.375,0.01,1.0250000000002042
cv,acoustic_only,alpha_asymmetry,1.0250000000002042,1.0250000000002042,0.0,0.01,1.0250000000002042
cv,legacy_v1,alpha_asymmetry,0.016666666666666666,0.019148542155126763,-0.375,0.01,0.0456678700361011
cv,legacy_v1,alpha_asymmetry,0.04566787003610111,0.04566787003610111,0.0,0.01,0.0456678700361011
cv,modulation_only,alpha_asymmetry,0.016666666666666666,0.019148542155126763,-0.375,0.01,0.0470677324358435
cv,modulation_only,alpha_asymmetry,0.0470677324358435,0.0470677324358435,0.0,0.01,0.0470677324358435
cv,acoustic_only,alpha_peak_frequency_hz,0.2333333333333331,0.264575131106459,-0.16666666666666785,0.22499999999999964,15.125000000002956
cv,acoustic_only,alpha_peak_frequency_hz,15.125000000002956,15.125000000002956,0.0,0.22499999999999964,15.125000000002956
cv,legacy_v1,alpha_peak_frequency_hz,0.2333333333333331,0.264575131106459,-0.16666666666666785,0.22499999999999964,0.4350180505415153
cv,legacy_v1,alpha_peak_frequency_hz,0.4350180505415153,0.4350180505415153,0.0,0.22499999999999964,0.4350180505415153
cv,modulation_only,alpha_peak_frequency_hz,0.2333333333333331,0.264575131106459,-0.16666666666666785,0.22499999999999964,0.4560159865376523
cv,modulation_only,alpha_peak_frequency_hz,0.4560159865376523,0.4560159865376523,0.0,0.22499999999999964,0.4560159865376523
cv,acoustic_only,aperiodic_exponent,0.09666666666666675,0.10847426730181997,-3.8577981651376154,0.08250000000000007,2.440833333333959
cv,acoustic_only,aperiodic_exponent,2.440833333333959,2.440833333333959,0.0,0.08250000000000007,2.440833333333959
cv,legacy_v1,aperiodic_exponent,0.09666666666666675,0.10847426730181997,-3.8577981651376154,0.008772563176895565,0.1080000000000001
cv,legacy_v1,aperiodic_exponent,0.008772563176895565,0.008772563176895565,0.0,0.008772563176895565,0.1080000000000001
cv,modulation_only,aperiodic_exponent,0.09666666666666675,0.10847426730181997,-3.8577981651376154,0.019326181461225778,0.1080000000000001
cv,modulation_only,aperiodic_exponent,0.019326181461225778,0.019326181461225778,0.0,0.019326181461225778,0.1080000000000001
cv,acoustic_only,aperiodic_offset,0.02666666666666667,0.0316227766016838,-2.4615384615384612,0.0225,0.4808333333335532
cv,acoustic_only,aperiodic_offset,0.4808333333335532,0.4808333333335532,0.0,0.0225,0.4808333333335532
cv,legacy_v1,aperiodic_offset,0.02666666666666667,0.0316227766016838,-2.4615384615384612,0.00743682310469318,0.030000000000000006
cv,legacy_v1,aperiodic_offset,0.00743682310469318,0.00743682310469318,0.0,0.00743682310469318,0.030000000000000006
cv,modulation_only,aperiodic_offset,0.02666666666666667,0.0316227766016838,-2.4615384615384612,0.01173023886317954,0.03103814331790773
cv,modulation_only,aperiodic_offset,0.015190716589538633,0.015190716589538633,0.0,0.01173023886317954,0.03103814331790773
cv,acoustic_only,assr_plv,0.06333333333333334,0.0834665601703261,-1.3571428571428572,0.052500000000000005,0.44416666666736865
cv,acoustic_only,assr_plv,0.44416666666736865,0.44416666666736865,0.0,0.052500000000000005,0.44416666666736865
cv,legacy_v1,assr_plv,0.06333333333333334,0.0834665601703261,-1.3571428571428572,0.025282791817087865,0.07516967509025271
cv,legacy_v1,assr_plv,0.035848375451263584,0.035848375451263584,0.0,0.025282791817087865,0.07516967509025271
cv,modulation_only,assr_plv,0.06333333333333334,0.0834665601703261,-1.3571428571428572,0.03727270602533538,0.08236362361520123
cv,modulation_only,assr_plv,0.07181811807600615,0.07181811807600615,0.0,0.03727270602533538,0.08236362361520123
cv,acoustic_only,comfort_rating,0.7666666666666672,0.8185352771872455,-7.1486486486486545,0.6000000000000005,36.291666666667105
cv,acoustic_only,comfort_rating,36.291666666667105,36.291666666667105,0.0,0.6000000000000005,36.291666666667105
cv,legacy_v1,comfort_rating,0.7666666666666672,0.8185352771872455,-7.1486486486486545,0.6000000000000005,1.1202166064981949
cv,legacy_v1,comfort_rating,1.1202166064981949,1.1202166064981949,0.0,0.6000000000000005,1.1202166064981949
